# 공모펀드 운용사 코드 ↔ 브랜드 — 내부 유도 결과 (외부 코드북 도착 전 임시)
# 생성 2026-08-18 · source=rule (종목명 접두 최빈값, 50% 임계 최장접두) · as_of=2026-07-11
# 🔴 brand 는 '판매 브랜드' 이며 정식 법인명이 아니다 (KB <-> KB자산운용). 코드북 회신 시 덮어쓸 것
# evidence  A=국내ETF cu_fund_mgmt_co 교차검증(확정) · B=접두 점유율 90%+ · C=구 상호 혼재(브랜드 식별 가능)
#           D=접두가 상품명(브랜드 절단 수작업) · E=다세대 상호 혼재(수작업 확인)
# 🔴 former_names 를 KG alias 에 반드시 포함할 것 — '동양자산운용 펀드' 질의가 00040007(우리)로 가야 한다
# 근거: docs/eda/public_funds_value_dictionary.md §2.6 · docs/DATA_NEEDS.md (1)
code,items,brand,share,evidence,former_names,note,sample_itm_nm
00040004,53,대신,0.981,B,,,대신 KOSPI200 인덱스 증권 자투자신탁[주식] Class C-P
00080033,50,BNK,0.96,B,GS,,BNK골드스코프타겟증권투자신탁1호(주식혼합)A1
00080017,46,유경,0.674,C,드림10 / 드림포유 / 드림 트,구 상호 혼재 — 브랜드는 식별 가능,굿앤리치부동산공경매투자회사2
00040016,41,HDC,0.927,B,아이절세,,HDC BLASH 목표전환형 증권투자신탁[채권-재간접형] 종류 A
00080030,40,JP모간,1.0,B,,,JP모간 G2증권자투자신탁[주식](A)
00080006,39,코레이트,0.564,C,마이애셋,구 상호 혼재 — 브랜드는 식별 가능,마이애셋Flexible증권투자신탁1호(채권혼합)C
00080087,34,브이,0.735,C,맥쿼리이 / ING,구 상호 혼재 — 브랜드는 식별 가능,ING 프리미엄공모주증권투자회사2(채권혼합)
00040084,33,도이치,0.758,C,디더블유,구 상호 혼재 — 브랜드는 식별 가능,도이치 DWS 기후변화주자1 C-i
00040023,32,알리안츠,0.906,B,하나알리 / 알이안츠 / Alli,,AllianzGI Dynamic CPI파생E-1
00080026,32,스팍스,1.0,B,,,스팍스법인용MMF제1호(국공채)
00080032,29,현대인베스트먼트,0.69,C,현대글로 / 현대DJ / 현대플래,구 상호 혼재 — 브랜드는 식별 가능,현대DJSIKorea인덱스주식A1
00080018,23,플러스,0.696,C,Plus,구 상호 혼재 — 브랜드는 식별 가능,Plus 신종 개인용 MMF2호 종류 C-p1e(연금저축)
00040022,22,프랭클린,0.591,C,템플턴프 / 템플턴퇴,구 상호 혼재 — 브랜드는 식별 가능,템플턴 퇴직연금 글로벌 증권 자투자신탁(주식)
00080208,17,웰컴,1.0,B,,,웰컴공모주코스닥벤처기업증권투자신탁[주식혼합-파생형] 종류 A
00080248,17,타임폴리오마켓리더증권자투,0.588,D,타임폴리,접두가 상품명 — 브랜드 절단 수작업 필요,타임폴리오마켓리더증권자투자신탁(주식) 종류 A
00080031,16,알파 시나브로 멀티에셋,0.5,D,알파글로 / 알파오메 / 알파국공,접두가 상품명 — 브랜드 절단 수작업 필요,알파 시나브로 멀티에셋 증권 투자신탁1호[주식혼합]Class-C
00080056,11,라자드코리아증권투자신탁(,0.818,D,라자드코,접두가 상품명 — 브랜드 절단 수작업 필요,라자드코리아SRI증권투자회사(주식)클래스A
00080016,10,칸서스하베스트증권자투자신,0.6,D,칸서스더 / 칸서스국 / 칸서스법,접두가 상품명 — 브랜드 절단 수작업 필요,칸서스국공채MMF법인1호
00080333,10,한국투자미국MLP특별자산,0.7,D,한국투자,접두가 상품명 — 브랜드 절단 수작업 필요,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권)
00080368,10,VIP한국형가치투자증권자,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,VIP한국형가치투자증권자투자신탁[주식] A 클래스
00080002,8,,0.0,E,,다세대 상호 혼재 — 어떤 접두도 50% 미달,AKP턴어라운드증권투자신탁1호(주식) Class A
00080127,8,머스트원앤온리증권자투자신,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,머스트원앤온리증권자투자신탁(사모투자재간접형) 종류 A
00080041,8,현대뉴현대밸류플러스증권자,0.75,D,현대MI / 현대국공,접두가 상품명 — 브랜드 절단 수작업 필요,현대MIKT증권투자신탁1호(주식-재간접형)A
00080048,8,브레인코스닥벤처증권투자신,0.5,D,브레인금,접두가 상품명 — 브랜드 절단 수작업 필요,브레인금잔디배당성장 증권 자투자신탁(주식) 종류 A
00080359,6,더제이더행복코리아증권자투,0.833,D,더제이더,접두가 상품명 — 브랜드 절단 수작업 필요,더제이더행복글로벌증권자투자신탁[주식]종류C-P2e
00080003,6,GB100년공모주증권자투,0.5,D,골든브릿 / GB블루,접두가 상품명 — 브랜드 절단 수작업 필요,GB100년공모주증권자투자신탁1호[채권혼합]종류A1
00080162,5,디에스Maestro증권자,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,디에스Maestro증권자투자신탁[주식] 종류A
00080157,4,와이즈,0.75,C,현대와이,구 상호 혼재 — 브랜드는 식별 가능,와이즈더블스타1주식
00080062,4,이지스글로벌고배당리츠플러,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class A-e
00080007,4,골드만삭스코리아프라임퇴직,0.5,D,골드만맥 / 골드만삭,접두가 상품명 — 브랜드 절단 수작업 필요,골드만맥쿼리글로벌인프라재2CW
00080015,2,푸르덴셜법인MMF2-23,0.5,D,푸르덴셜,접두가 상품명 — 브랜드 절단 수작업 필요,푸르덴셜법인MMF2-23호
00080159,2,베어링글로벌다이나믹자산배,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,베어링글로벌다이나믹자산배분증권자투자신탁(H)(주식혼합)운용
00080034,2,블랙록월드애그리컬쳐증권투,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,블랙록월드애그리컬쳐증권투자신탁(주식-재간접형)(H)(A)
00040105,1,한국투자신종법인용MMF1,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,한국투자신종법인용MMF15호 종류 C
00080204,1,하나티마크그랜드종류형부동,1.0,D,,접두가 상품명 — 브랜드 절단 수작업 필요,하나티마크그랜드종류형부동산투자신탁1호 Class A
