pd_itm_no,약어명,배수,기초지수,자산군,상품군,근거,판정,검토자,비고
KRG510000455,대신 인버스 2X 미국달러 선물 ETN,2.0,,통화,ETN,약어명,,,
KRG510000273,대신 인버스 2X 코스닥 150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG510000406,대신 인버스 3X 국채30년 ETN,,,채권,ETN,약어명,,,
KRG510000430,대신 인버스 천연가스 선물 ETN(H) B,1.0,,원자재,ETN,약어명,,,
KRG610000702,메리츠 KAP 인버스 2X 일본 엔화 ETN,2.0,,통화,ETN,약어명,,,
KRG610000736,메리츠 KAP 인버스 2X 중국 위안화 ETN,2.0,,통화,ETN,약어명,,,
KRG610000546,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),,,원자재,ETN,정식명,,,
KRG610000421,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),,,원자재,ETN,약어명,,,
KRG610001049,메리츠 솔랙티브 인버스 2X 금 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000892,메리츠 인버스 2X WTI원유 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000298,메리츠 인버스 2X 구리 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000215,메리츠 인버스 2X 국채10년 ETN,,,채권,ETN,약어명,,,
KRG610000108,메리츠 인버스 2X 국채30년 ETN,,,채권,ETN,약어명,,,
KRG610000488,메리츠 인버스 2X 국채3년 ETN,,,채권,ETN,약어명,,,
KRG610000520,메리츠 인버스 2X 국채5년 ETN,,,채권,ETN,약어명,,,
KRG610000132,메리츠 인버스 2X 금 선물 ETN(H),-2.0,,원자재,ETN,배수음수+약어명,,,
KRG610000363,메리츠 인버스 2X 대표 농산물 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000256,메리츠 인버스 2X 미국채10년 ETN(H),2.0,,채권,ETN,약어명,,,
KRG610000405,메리츠 인버스 2X 미국채30년 ETN(H),2.0,,채권,ETN,약어명,,,
KRG610000173,메리츠 인버스 2X 은 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG610001015,메리츠 인버스 2X 은 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000967,메리츠 인버스 2X 천연가스 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG610000603,메리츠 인버스 3X 국채10년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000629,메리츠 인버스 3X 국채30년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000561,메리츠 인버스 3X 국채3년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000587,메리츠 인버스 3X 국채5년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000769,메리츠 인버스 3X 미국채10년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000793,메리츠 인버스 3X 미국채30년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000934,메리츠 인버스 3X 일본 국채 10년 ETN,3.0,,채권,ETN,약어명,,,
KRG610000207,메리츠 인버스 국채10년 ETN,1.0,,채권,ETN,약어명,,,
KRG610000090,메리츠 인버스 국채30년 ETN,-1.0,,채권,ETN,배수음수+약어명,,,
KRG610001064,메리츠 인버스 국채30년 ETN B,1.0,,채권,ETN,약어명,,,
KRG610000470,메리츠 인버스 국채3년 ETN,1.0,,채권,ETN,약어명,,,
KRG610000512,메리츠 인버스 국채5년 ETN,1.0,,채권,ETN,약어명,,,
KRG610000249,메리츠 인버스 미국채10년 ETN(H),1.0,,채권,ETN,약어명,,,
KRG610000397,메리츠 인버스 미국채30년 ETN(H),1.0,,채권,ETN,약어명,,,
KRG610000926,메리츠 인버스 일본 국채 10년 ETN,1.0,,채권,ETN,약어명,,,
KRG610000447,메리츠 인버스 천연가스 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG610000868,메리츠 인버스2X 미국채30년 스트립 ETN(H),2.0,,채권,ETN,약어명,,,
KRG520000636,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),,,기타,ETN,정식명,,,
KRG520000859,미래에셋 -2X 미국 AI TOP3 ETN,2.0,,주식,ETN,정식명,,,
KRG520000842,미래에셋 -2X 미국 자율주행대표기업 ETN,2.0,,주식,ETN,정식명,,,
KRG520000651,미래에셋 -2X 미국채울트라30년 선물 ETN,2.0,,채권,ETN,정식명,,,
KRG520000693,미래에셋 -2X 홍콩H 선물 ETN(H),-2.0,,주식,ETN,배수음수+정식명,,,
KRG520000966,미래에셋 인버스 2X WTI원유 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG520000990,미래에셋 인버스 2X 반도체 ETN,2.0,,주식,ETN,약어명,,,
KRG520000479,미래에셋 인버스 2X 옥수수 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG520000503,미래에셋 인버스 2X 원유선물혼합 ETN(H),-2.0,,원자재,ETN,배수음수+약어명,,,
KRG520000933,미래에셋 인버스 2X 은 선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG520000578,미래에셋 인버스 2X 코스닥150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG520000552,미래에셋 인버스 2X 코스피200 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG520001022,미래에셋 인버스 2X 코스피200 선물 ETN B,2.0,,주식,ETN,약어명,,,
KRG522100111,미래에셋 인버스 원유선물혼합 ETN(H),,,원자재,ETN,약어명,,,
KRG520000917,미래에셋 인버스 천연가스 선물 ETN B,1.0,,원자재,ETN,약어명,,,
KRG520000537,미래에셋 인버스 천연가스 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG520000404,미래에셋 인버스 코스닥150 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG520000388,미래에셋 인버스 코스피200 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG520000867,미래에셋-0.5X S&P500 VIX S/T선물 ETN(H)B,0.5,,기타,ETN,정식명,,,
KRG530001004,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,,,원자재,ETN,약어명,,,
KRG530001343,삼성 블룸버그 인버스2X WTI원유선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG530001103,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,,,기타,ETN,약어명,,,
KRG530001145,삼성 인버스 2X S&P500 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG532400360,삼성 인버스 2X WTI원유 선물 ETN,-2.0,,원자재,ETN,배수음수+약어명,,,
KRG532400642,삼성 인버스 2X 구리 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG532400568,삼성 인버스 2X 금 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG530001160,삼성 인버스 2X 나스닥 100 TR ETN,2.0,,주식,ETN,약어명,,,
KRG530001293,삼성 인버스 2X 미국다우존스 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG530001434,삼성 인버스 2X 은 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG532400626,삼성 인버스 2X 은 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG530001251,삼성 인버스 2X 일본니케이225선물 ETN(H),2.0,,주식,ETN,약어명,,,
KRG530001020,삼성 인버스 2X 천연가스 선물 ETN C,,,원자재,ETN,약어명,,,
KRG530001368,삼성 인버스 2X 천연가스 선물 ETN D,2.0,,원자재,ETN,약어명,,,
KRG530001079,삼성 인버스 2X 코스닥150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG530001053,삼성 인버스 2X 코스피200 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG530001228,삼성 인버스 2X 항셍테크 TR ETN(H) B,2.0,,주식,ETN,약어명,,,
KRG536100024,삼성 인버스 China A50 선물 ETN(H),,,주식,ETN,약어명,,,
KRG530001350,삼성 인버스 China A50 선물 ETN(H) B,1.0,,주식,ETN,약어명,,,
KRG530000964,삼성 인버스 구리 선물 ETN(H),1.0,,원자재,ETN,약어명,,,
KRG530000840,삼성 인버스 금 선물 ETN(H),-1.0,,원자재,ETN,배수음수+약어명,,,
KRG530000907,삼성 인버스 은 선물 ETN(H),1.0,,원자재,ETN,약어명,,,
KRG530000949,삼성 인버스 코스닥 150 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG530000923,삼성 인버스 코스피 200 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG530001319,삼성 인버스0.5X S&P500 VIX S/T선물 ETN B,0.5,,기타,ETN,약어명,,,
KRG500000812,신한 S&P 인버스 2X 유로 선물 ETN(H),-2.0,,통화,ETN,배수음수+약어명,,,
KRG500000796,신한 S&P 인버스 유로 선물 ETN(H),-1.0,,통화,ETN,배수음수+약어명,,,
KRG500000663,신한 블룸버그 인버스 2X WTI원유 선물 ETN,,,원자재,ETN,약어명,,,
KRG500000945,신한 블룸버그 인버스2X WTI원유선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG500000689,신한 인버스 2X 10년 국채선물 ETN,2.0,,채권,ETN,약어명,,,
KRG500000572,신한 인버스 2X Russell 2000 ETN,,,주식,ETN,약어명,,,
KRG500000986,신한 인버스 2X Russell 2000 ETN B,2.0,,주식,ETN,약어명,,,
KRG502100511,신한 인버스 2X S&P500 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG502400275,신한 인버스 2X WTI원유 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG502400416,신한 인버스 2X 구리 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG502400382,신한 인버스 2X 금 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG502100289,신한 인버스 2X 다우존스지수 선물 ETN(H),-2.0,,주식,ETN,배수음수+약어명,,,
KRG501500364,신한 인버스 2X 미국달러 선물 ETN,2.0,,통화,ETN,약어명,,,
KRG502400309,신한 인버스 2X 은 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG500000721,신한 인버스 2X 코스닥 150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG500000705,신한 인버스 2X 코스피 200 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG500000556,신한 인버스 Russell 2000 ETN,,,주식,ETN,약어명,,,
KRG502400036,신한 인버스 WTI원유 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG502400085,신한 인버스 구리 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG502400069,신한 인버스 금 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG502400101,신한 인버스 다우존스지수 선물 ETN(H),,,주식,ETN,약어명,,,
KRG502400127,신한 인버스 달러인덱스 선물 ETN(H),,,통화,ETN,약어명,,,
KRG502400051,신한 인버스 브렌트원유 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG502400143,신한 인버스 옥수수 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG501100074,신한 인버스 은 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG500000630,신한 인버스 코스닥 150 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG500000614,신한 인버스 코스피 200 선물 ETN,1.0,,주식,ETN,약어명,,,
KRG502400242,신한 인버스 콩 선물 ETN(H),1.0,,원자재,ETN,약어명,,,
KRG500000770,신한 인버스0.5X S&P500 VIX S/T선물 ETN,,,기타,ETN,약어명,,,
KRG500000960,신한 인버스2X 천연가스 선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG760000247,키움 인버스 2X K방산 TOP5 ETN,2.0,,주식,ETN,약어명,,,
KRG760000288,키움 인버스 2X 반도체TOP10 ETN,2.0,,주식,ETN,약어명,,,
KRG760000270,키움 인버스 2X 전력 TOP5 ETN,2.0,,주식,ETN,약어명,,,
KRG760000049,키움 인버스 미국달러선물 ETN,1.0,,통화,ETN,약어명,,,
KRG700000240,하나 -0.5X S&P500 VIX S/T 선물 ETN(H),,,기타,ETN,정식명,,,
KRG700000166,하나 S&P 인버스 2X WTI원유 선물 ETN,,,원자재,ETN,약어명,,,
KRG700000307,하나 S&P 인버스 2X WTI원유 선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG700000208,하나 블룸버그 -2X 천연가스 선물 ETN(H),,,원자재,ETN,정식명,,,
KRG700000356,하나 인버스 2X K방산TOP10 ETN,2.0,,주식,ETN,약어명,,,
KRG700000364,하나 인버스 2X 반도체 ETN,2.0,,주식,ETN,약어명,,,
KRG700000125,하나 인버스 2X 옥수수 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG700000323,하나 인버스 2X 천연가스 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG700000182,하나 인버스 2X 코스닥150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG700000141,하나 인버스 2X 콩 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG570000791,한투 블룸버그 인버스 2X WTI원유 선물 ETN,,,원자재,ETN,약어명,,,
KRG570000841,한투 블룸버그 인버스 2X 천연가스선물 ETN,,,원자재,ETN,약어명,,,
KRG570001260,한투 솔랙티브인버스2X금선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG570000890,한투 인버스 0.5X S&P500 VIX S/T 선물 ETN,,,기타,ETN,약어명,,,
KRG570000627,한투 인버스 2X 은 선물 ETN,,,원자재,ETN,약어명,,,
KRG570000536,한투 인버스 플래티넘 선물 ETN,,,원자재,ETN,약어명,,,
KRG570001153,한투 인버스0.5X S&P500 VIX S/T선물 ETN B,0.5,,기타,ETN,약어명,,,
KRG572100235,한투 인버스2XS&P500선물 ETN(H),2.0,,주식,ETN,약어명,,,
KRG570001179,한투 인버스2XWTI원유선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG570000734,한투 인버스2X구리선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG570000601,한투 인버스2X금선물 ETN,-2.0,,원자재,ETN,배수음수+약어명,,,
KRG570001039,한투 인버스2X나스닥100 ETN B,2.0,,주식,ETN,약어명,,,
KRG570000668,한투 인버스2X베트남VN30 선물 ETN(H),2.0,,주식,ETN,약어명,,,
KRG570000999,한투 인버스2X엔달러 선물 ETN(H),2.0,,통화,ETN,약어명,,,
KRG570000924,한투 인버스2X유로스탁스50 ETN(H) B,2.0,,주식,ETN,약어명,,,
KRG570001195,한투 인버스2X은선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG570001070,한투 인버스2X일본니케이225선물 ETN(H),2.0,,주식,ETN,약어명,,,
KRG570000965,한투 인버스2X일본엔선물 ETN,2.0,,통화,ETN,약어명,,,
KRG570001187,한투 인버스2X천연가스선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG570000825,한투 인버스2X코스닥150선물 ETN,2.0,,주식,ETN,약어명,,,
KRG570001278,한투 인버스2X코스피200선물 ETN,2.0,,주식,ETN,약어명,,,
KRG570000700,한투 인버스2X플래티넘선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG570000569,한투 인버스금선물 ETN,-1.0,,원자재,ETN,배수음수+약어명,,,
KRG570001229,한투 인버스금선물 ETN,1.0,,원자재,ETN,약어명,,,
KRG570001013,한투 인버스나스닥100 ETN B,1.0,,주식,ETN,약어명,,,
KRG570000643,한투 인버스베트남VN30선물 ETN(H),1.0,,주식,ETN,약어명,,,
KRG570000916,한투 인버스유로스탁스50 ETN(H) C,1.0,,주식,ETN,약어명,,,
KRG570001245,한투 인버스은선물 ETN,1.0,,원자재,ETN,약어명,,,
KRG570000585,한투 인버스은선물 ETN,-1.0,,원자재,ETN,배수음수+약어명,,,
KRG570001054,한투 인버스일본니케이225선물 ETN(H),1.0,,주식,ETN,약어명,,,
