pd_itm_no,상품명,플래그,배수,자산군,근거,판정,검토자,비고
DUST.K,Direxion Daily Gold Miners Index Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
DWSH.O,AdvisorShares Dorsey Wright Short ETF,Y,,Alternatives,플래그,,,
DXD,ProShares UltraShort Dow30,Y,-2.0,Alternatives,플래그+배수음수,,,
DZZ,DB Gold Double Short ETN,Y,-2.0,Commodity,플래그+배수음수,,,
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
EEV,ProShares UltraShort MSCI Emerging Markets,Y,-2.0,Alternatives,플래그+배수음수,,,
EFU,ProShares UltraShort MSCI EAFE,Y,-2.0,Alternatives,플래그+배수음수,,,
EFZ,ProShares Short MSCI EAFE,Y,,Alternatives,플래그,,,
ELIS.O,Direxion Daily LLY Bear 1X ETF,Y,,Alternatives,플래그,,,
EMTY.K,ProShares Decline of the Retail Store ETF,Y,,Alternatives,플래그,,,
EPV,ProShares UltraShort FTSE Europe,Y,-2.0,Alternatives,플래그+배수음수,,,
ERY,Direxion Daily Energy Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
ETHD.K,ProShares UltraShort Ether ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
ETQ,T-Rex 2X Inverse Ether Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
EUM,ProShares Short MSCI Emerging Markets,Y,,Alternatives,플래그,,,
EUO,ProShares UltraShort Euro,Y,-2.0,Alternatives,플래그+배수음수,,,
EWV,ProShares UltraShort MSCI Japan,Y,-2.0,Alternatives,플래그+배수음수,,,
FAZ,Direxion Daily Financial Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
FIAT.K,YieldMax Short COIN Option Income Strategy ETF,Y,,Alternatives,플래그,,,
FLYD.K,MicroSectors Travel -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
FNGD.K,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
FRDD.O,Direxion Daily F Bear 1X ETF,Y,,Alternatives,플래그,,,
FXP,ProShares UltraShort FTSE China 50,Y,-2.0,Alternatives,플래그+배수음수,,,
GDXD.K,MicroSectors Gold Miners -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
GGLS.O,Direxion Daily GOOGL Bear 1X ETF,Y,,Alternatives,플래그,,,
GLL,ProShares UltraShort Gold,Y,-2.0,Commodity,플래그+배수음수,,,
HDGE.K,AdvisorShares Ranger Equity Bear ETF,Y,,Alternatives,플래그,,,
HIBS.K,Direxion Daily S&P 500 High Beta Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
HOOZ.K,Defiance Daily Target 2X Short HOOD ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
HYGD.K,MicroSectors -3x Short High Yield Corp Bond ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
IONZ.O,Defiance Daily Target 2X Short IONQ ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
IREZ.K,Tradr 2X Short IREN Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
JDST.K,Direxion Daily Junior Gold Miners Idx Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
JETD.K,MAX Airlines -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
KOLD.K,ProShares UltraShort Bloomberg Natural Gas,Y,-2.0,Commodity,플래그+배수음수,,,
LABD.K,Direxion Daily S&P Biotech Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
LCIZ.K,Tradr 2X Short LCID Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
LITZ.K,Tradr 2X Short LITE Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
LLYZ.O,Defiance Daily Target 2X Short LLY ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
LMTS.O,Direxion Daily LMT Bear 1X ETF,Y,,Alternatives,플래그,,,
LOFD.K,Direxion Daily SpaceX Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
LQDD.K,MicroSectors -3x Short Investment G CB ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
METD.O,Direxion Daily META Bear 1X ETF,Y,,Alternatives,플래그,,,
METQ.K,Tradr 2X Short META Daily ETF,,2.0,Alternatives,🔴상품명만,,,
MSDD.O,GraniteShares 2x Short MSTR Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
MSFD.O,Direxion Daily MSFT Bear 1X ETF,Y,,Alternatives,플래그,,,
MSTZ.K,T-REX 2X Inverse MSTR Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
MUD.O,Direxion Daily MU Bear 1X ETF,Y,,Alternatives,플래그,,,
MUZ,Defiance Daily Target 2X Short MU ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
MYY,ProShares Short MidCap400,Y,,Alternatives,플래그,,,
MZZ,ProShares UltraShort MidCap400,Y,-2.0,Alternatives,플래그+배수음수,,,
NBIZ.K,Tradr 2X Short NBIS Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
NFXS.O,Direxion Daily NFLX Bear 1X ETF,Y,,Alternatives,플래그,,,
NRGD.K,MicroSectors US Big Oil -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
NVD.O,GraniteShares 2x Short NVDA Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
NVDD.O,Direxion Daily NVDA Bear 1X ETF,Y,,Alternatives,플래그,,,
NVDQ.K,T-REX 2X Inverse NVIDIA Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
NVDS.O,Tradr 1.5X Short NVDA Daily ETF,Y,-1.5,Alternatives,플래그+배수음수,,,
OILD.K,MicroSectors Oil & Gas Expl & Prod -3X Inv Lv ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
OKLS.K,Defiance Daily Target 2X Short OKLO ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
ORCS.O,Direxion Daily ORCL Bear 1x ETF,Y,,Alternatives,플래그,,,
ORCZ.K,Tradr 2X Short ORCL Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
PALD.O,Direxion Daily PANW Bear 1X ETF,Y,,Alternatives,플래그,,,
PLTD.O,Direxion Daily PLTR Bear 1X ETF,Y,,Alternatives,플래그,,,
PLTZ.O,Defiance Daily Target 2X Short PLTR ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
PSQ,ProShares Short QQQ,Y,,Alternatives,플래그,,,
PST,ProShares UltraShort 7-10 Year Treasury,Y,-2.0,Bond,플래그+배수음수,,,
QBER.K,TrueShares Quarterly Bear Hedge ETF,,,Alternatives,🔴상품명만,,,
QBTZ.O,Defiance Daily Target 2X Short QBTS ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
QCMD.O,Direxion Daily QCOM Bear 1X ETF,Y,,Alternatives,플래그,,,
QID,ProShares UltraShort QQQ,Y,-2.0,Alternatives,플래그+배수음수,,,
QQDN.O,ProShares UltraShort Top QQQ Mega,Y,-2.0,Alternatives,플래그+배수음수,,,
QQQD.K,Direxion Daily Magnificent 7 Bear 1X ETF,Y,,Alternatives,플래그,,,
RAMZ.K,T-REX 2X Inverse DRAM Daily Target ETF,Y,2.0,Alternatives,플래그,,,
REK,ProShares Short Real Estate,Y,,Alternatives,플래그,,,
REKT.K,Direxion Daily Crypto Industry Bear 1X ETF,Y,,Alternatives,플래그,,,
REW,ProShares UltraShort Technology,Y,-2.0,Alternatives,플래그+배수음수,,,
RGTZ.O,Defiance Daily Target 2X Short RGTI ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
RKLZ.O,Defiance Daily Target 2X Short RKLB ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
RWM,ProShares Short Russell2000,Y,,Alternatives,플래그,,,
RXD,ProShares UltraShort Health Care,Y,-2.0,Alternatives,플래그+배수음수,,,
SARK.O,Tradr 1X Short Innovation Daily ETF,Y,,Alternatives,플래그,,,
SBB,ProShares Short SmallCap600,Y,,Alternatives,플래그,,,
SBIT.K,ProShares UltraShort Bitcoin ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SCC,ProShares UltraShort Consumer Discretionary,Y,-2.0,Alternatives,플래그+배수음수,,,
SCO,ProShares UltraShort Bloomberg Crude Oil,Y,-2.0,Commodity,플래그+배수음수,,,
SDD,ProShares UltraShort SmallCap600,Y,-2.0,Alternatives,플래그+배수음수,,,
SDOW.K,ProShares UltraPro Short Dow30,Y,-3.0,Alternatives,플래그+배수음수,,,
SDP,ProShares UltraShort Utilities,Y,-2.0,Alternatives,플래그+배수음수,,,
SDS,ProShares UltraShort S&P500,Y,-2.0,Alternatives,플래그+배수음수,,,
SEF,ProShares Short Financials,Y,,Alternatives,플래그,,,
SETH.K,ProShares Short Ether ETF,Y,,Alternatives,플래그,,,
SH,ProShares Short S&P500,Y,,Alternatives,플래그,,,
SHPD.O,Direxion Daily SHOP Bear 1X ETF,Y,,Alternatives,플래그,,,
SIJ,ProShares UltraShort Industrials,Y,-2.0,Alternatives,플래그+배수음수,,,
SJB,ProShares Short High Yield,Y,,Bond,플래그,,,
SKDD.O,GraniteShares 2x Short SK Hynix Daily ETF,,-2.0,Alternatives,배수음수,,,
SKF,ProShares UltraShort Financials,Y,-2.0,Alternatives,플래그+배수음수,,,
SKHN.K,Tradr 2X Short SK Hynix Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SKHZ.K,Leverage Shares 1X Short SK Hynix Daily ETF,Y,,Alternatives,플래그,,,
SKRE.O,Tuttle Capital Daily 2X Inverse Regional Banks ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SLTY.K,YieldMax Ultra Short Option Income Strategy ETF,Y,,Alternatives,플래그,,,
SMCZ.O,Defiance Daily Target 2X Short SMCI ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SMDD.K,ProShares UltraPro Short MidCap400,Y,-3.0,Alternatives,플래그+배수음수,,,
SMHD.K,MicroSectors -3x Short Semiconductor ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
SMN,ProShares UltraShort Materials,Y,-2.0,Alternatives,플래그+배수음수,,,
SMQ,Tradr 1X Short Innovation 100 Monthly ETF,Y,,Alternatives,플래그,,,
SMST.O,Defiance Daily Target 2X Short MSTR ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SMZ,Tradr 2X Short SMR Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SNDQ.K,Tradr 2X Short SNDK Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SNK,GraniteShares 2x Short SpaceX Daily ETF,,2.0,Alternatives,🔴상품명만,,,
SOXS.K,Direxion Daily Semiconductor Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
SPCG.K,Tradr 2X Short SpaceX Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SPCQ.K,Defiance Daily Target 2X Short SPCX ETF,,-2.0,Alternatives,배수음수,,,
SPDN.K,Direxion Daily S&P 500 Bear 1X ETF,Y,,Alternatives,플래그,,,
SPXS.K,Direxion Daily S&P 500 Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
SPXU.K,ProShares UltraPro Short S&P500,Y,-3.0,Alternatives,플래그+배수음수,,,
SQQQ.O,ProShares UltraPro Short QQQ,Y,-3.0,Alternatives,플래그+배수음수,,,
SRS,ProShares UltraShort Real Estate,Y,-2.0,Alternatives,플래그+배수음수,,,
SRTY.K,ProShares UltraPro Short Russell2000,Y,-3.0,Alternatives,플래그+배수음수,,,
SSG,ProShares UltraShort Semiconductors,Y,-2.0,Alternatives,플래그+배수음수,,,
SSPC.K,Leverage Shares 2X Short SPCX Daily ETF,,-2.0,Alternatives,배수음수,,,
STSM.K,Defiance Daily Target 2X Short TSM ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
SVIX.K,-1x Short VIX Futures ETF,Y,,Alternatives,플래그,,,
SVOL.K,Simplify Volatility Premium ETF,Y,,Alternatives,플래그,,,
SVXY.K,ProShares Short VIX Short-Term Futures ETF,Y,-0.5,Alternatives,플래그+배수음수,,,
SZK,ProShares UltraShort Consumer Staples,Y,-2.0,Alternatives,플래그+배수음수,,,
TBT,ProShares UltraShort 20+ Year Treasury,Y,-2.0,Bond,플래그+배수음수,,,
TBX,ProShares Short 7-10 Year Treasury,Y,,Bond,플래그,,,
TECS.K,Direxion Daily Technology Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
TMV,Direxion Daily 20+ Year Treasury Bear 3X ETF,Y,-3.0,Bond,플래그+배수음수,,,
TSDD.O,GraniteShares 2x Short TSLA Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
TSLQ.O,Tradr 2X Short TSLA Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
TSLS.O,Direxion Daily TSLA Bear 1X ETF,Y,,Alternatives,플래그,,,
TSLZ.K,T-REX 2X Inverse TESLA Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
TSMZ.O,Direxion Daily TSM Bear 1X ETF,Y,,Alternatives,플래그,,,
TSXD.K,Direxion Daily Semiconductors Top 5 Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
TTT,ProShares UltraPro Short 20+ Year Treasury,Y,-3.0,Bond,플래그+배수음수,,,
TTXD.K,Direxion Daily Technology Top 5 Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
TWM,ProShares UltraShort Russell2000,Y,-2.0,Alternatives,플래그+배수음수,,,
TYO,Direxion Daily 7-10 Year Treasury Bear 3X ETF,Y,-3.0,Bond,플래그+배수음수,,,
TZA,Direxion Daily Small Cap Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
UDN,Invesco DB US Dollar Index Bearish Fund,Y,,Bond,플래그,,,
VYLD.K,Inverse VIX Short-Term Futrs ETNs due Mar 22 2045,,,Alternatives,🔴상품명만,,,
WEBS.K,Direxion Daily Dow Jones Internet Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
WTID.K,MicroSectors Energy -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
XOMZ.O,Direxion Daily XOM Bear 1X ETF,Y,,Alternatives,플래그,,,
YANG.K,Direxion Daily FTSE China Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
YCS,ProShares UltraShort Yen,Y,-2.0,Alternatives,플래그+배수음수,,,
YQQQ.O,YieldMax Short N100 Option Income Strategy ETF,,,Alternatives,🔴상품명만,,,
YXI,ProShares Short FTSE China 50,Y,,Alternatives,플래그,,,
ZSL,ProShares UltraShort Silver,Y,-2.0,Commodity,플래그+배수음수,,,
ZVOL.K,Volatility Premium Plus ETF,Y,,Alternatives,플래그,,,
